from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
FLD,MJ,25.0,2,1,1
FLD,KBK,22.0,2,1,1
FPS,SIKR,47.0,2,1,1
FPS,LNH,20.0,10,1,1
FPS,RSWT,19.0,2,1,1
FSP,HAN,14.0,6,1,1
FSW,SDS,6.0,1,1,1
FTH,SGNR,15.0,2,1,1
FTH,HMK,11.0,2,1,1
FTH,ORKI,5.0,1,1,1
FTH,MOPR,10.0,1,1,1
FTS,RBS,14.0,12,0,1
FTS,SNPR,6.0,2,0,1
GA,NAC,19.0,2,1,1
GA,SBR,8.0,2,1,1
GADJ,JP,5.0,74,1,1
GADJ,GTJT,5.0,18,1,1
GAL,KRH,7.0,2,1,1
GAL,PSL,6.0,2,1,1
GAMI,NHR,26.0,4,1,1
GAMI,TSD,14.0,6,1,1
GBP,MDL,53.0,2,1,1
GCH,MKN,30.0,4,1,1
GEK,LR,6.0,1,1,1
GEK,KSG,6.0,1,1,1
GGC,SWM,63.0,62,1,1
GGC,SMVJ,35.0,16,1,0
GGC,HAN,45.0,26,1,1
GGC,MTJ,153.0,4,1,0
GGC,KOTA,172.0,14,1,1
GGC,NNW,17.0,6,1,1
GGC,PDZ,21.0,4,1,1
GGC,LRU,7.0,2,1,1
GGN,JP,276.0,2,0,1
GGR,HMG,14.0,2,1,1
GHNA,PNP,40.0,4,0,1
GJN,NAL,19.0,1,1,1
GJN,KLYT,15.0,1,1,1
GJS,SRW,20.0,6,1,1
GJS,RSNR,14.0,6,1,1
GLTA,KSG,18.0,1,1,1
GLTA,SALI,7.0,1,1,1
GND,RGS,18.0,4,1,1
GNU,PNP,30.0,1,0,1
GOH,SGZ,11.0,8,1,1
GOS,MURD,7.0,1,1,1
GOTN,MTD,20.0,46,1,1
GOTN,RKB,81.0,11,1,1
GOTN,KXG,7.0,4,1,1
GOTN,JU,84.0,23,1,1
GOTN,PPR,37.0,8,1,1
GRA,PNP,16.0,7,0,1
GRF,NBH,8.0,2,1,1
GRF,SMP,9.0,2,1,1
GRI,HP,8.0,1,1,1
GRKA,KNNK,4.0,2,1,0
GTJT,JP,11.0,2,1,1
GTJT,KWP,6.0,2,1,1
GUNA,SGAC,182.0,2,0,1
GVH,JBS,11.0,2,1,1
GVH,JREA,6.0,2,1,0
GVH,RAH,20.0,2,1,1
GZKA,OTD,7.0,2,1,1
HAN,SMVJ,10.0,18,1,0
HDA,JOB,10.0,4,1,1
HKL,MLG,12.0,2,1,0
HKL,NMH,13.0,2,1,0
HLW,JRKN,6.0,1,1,1
HMH,SGRA,27.0,12,1,1
HMH,SDS,37.0,8,1,1
HMH,HMO,6.0,6,1,1
HMH,PGK,25.0,12,1,1
HMH,JRKN,8.0,1,1,1
HMH,MNSR,11.0,2,1,1
HMH,MBY,57.0,2,1,0
HMH,SGNR,67.0,2,1,1
HMH,SOG,49.0,4,1,1
HMH,NAWN,7.0,1,1,1
HMK,PJK,13.0,2,1,1
HMK,KTPK,4.0,1,1,1
HMK,ORKI,5.0,1,1,1
